Model,Colour,Memory,RAM,Battery_Hz,Rear Camera,Front Camera,AI Lens,Mobile Height,Processor_,Price
REDMI Note 12 Pro 5G,Onyx Black,128,6,5000,50MP,16MP,0,16.94,Mediatek Dimensity 1080,23999
REDMI Note 12,Ice Blue,128,6,5000,50MP,13MP,0,16.94,Snapdragon 685,16999
realme Narzo 30,Racing Silver,64,4,5000,48MP,16MP,0,16.51,MediaTek Helio G95,13499
POCO X5 Pro 5G,Astral Black,128,6,5000,108MP,16MP,0,16.94,Qualcomm Snapdragon 778G,21999
Infinix Hot 12,Exploratory Blue,64,4,6000,50MP,8MP,1,17.32,Meditek Helio G37,8999
Infinix Hot 12,Polar Black,64,4,6000,50MP,8MP,1,17.32,Meditek Helio G37,8999
Infinix Hot 12,7Â° Purple,64,4,6000,50MP,8MP,1,17.32,Meditek Helio G37,8999
Infinix Hot 12,Turquoise Cyan,64,4,6000,50MP,8MP,1,17.32,Meditek Helio G37,8999
REDMI Note 12 Pro+ 5G,Iceberg Blue,256,4,4980,200MP,16MP,0,16.94,Mediatek Dimensity 1080,32999
MOTOROLA G32,Mineral Gray,64,4,5000,50MP,16MP,0,16.64,Qualcomm Snapdragon 680,10999
MOTOROLA g72,Meteorite Grey,128,6,5000,108MP,16MP,0,16.64,Mediatek Helio G99,16999
Micromax IN 2C,Brown,32,3,5000,8MP,5MP,0,16.56,Unisoc T610,5999
vivo Y16,Drizzling Gold,128,4,5000,13MP,5MP,0,16.54,Mediatek Helio P35,12990
MOTOROLA Edge 40,Lunar Blue,256,8,4400,50MP,32MP,0,16.64,Dimensity 8020,29999
POCO X4 Pro 5G,Yellow,64,6,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 695 5G,16499
POCO F5 5G,Carbon Black,256,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),29999
realme 9 Pro+ 5G,Sunrise Blue,256,8,4500,50MP,16MP,0,16.26,Mediatek Dimensity 920,21999
realme Narzo 50i,Carbon Black,32,2,5000,8MP,5MP,0,16.51,SC9863A,6978
realme Narzo 50i,Mint Green,32,2,5000,8MP,5MP,0,16.51,SC9863A,7370
REDMI Note 12 Pro+ 5G,Arctic White,256,2,4980,200MP,16MP,0,16.94,Mediatek Dimensity 1080,32999
MOTOROLA e13,Creamy White,64,2,5000,13MP,5MP,0,16.51,Unisoc T606,6799
SAMSUNG Galaxy F23 5G,Forest Green,128,4,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 750G,15999
SAMSUNG Galaxy Z Flip3 5G,Phantom Black,128,8,3300,12MP,10MP,0,17.02,Qualcomm Snapdragon 888 Octa-Core,44999
POCO M4 Pro 5G,Cool Blue,128,6,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,16999
MOTOROLA g42,Atlantic Green,64,4,5000,50MP,16MP,0,16.43,Qualcomm Snapdragon 680,13999
POCO M4 5G,Cool Blue,128,6,5000,50MP,8MP,0,16.71,Mediatek Dimensity 700,13999
realme C33,Night Sea,32,3,5000,50MP,5MP,0,16.51,Unisoc T612,8999
realme C33,Aqua Blue,32,3,5000,50MP,5MP,0,16.51,Unisoc T612,8999
realme Narzo 50i Prime,Dark Blue,64,4,5000,8MP,5MP,0,16.51,Unisoc T612 processor,8995
Infinix Zero 20,Green Fantasy,128,8,4500,108MP,60MP,0,17.02,Mediatek G99,15999
Infinix Zero 20,DEEP GRAY,128,8,4500,108MP,60MP,0,17.02,Mediatek G99,15999
realme 8,Punk Black,128,4,5000,64MP,16MP,0,16.26,MediaTek Helio G95,13499
realme C33,Night Sea,64,4,5000,50MP,5MP,0,16.51,Unisoc T612,9999
realme C33,Sandy Gold,64,4,5000,50MP,5MP,0,16.51,Unisoc T612,9999
realme C33,Aqua Blue,64,4,5000,50MP,5MP,0,16.51,Unisoc T612,9999
realme 8,Cyber Black,128,8,5000,64MP,16MP,0,16.26,MediaTek Helio G95,15499
vivo Y35,Dawn Gold,128,8,5000,50MP,16MP,0,16.71,Qualcomm Snapdragon 680,16999
vivo Y35,Agate Black,128,8,5000,50MP,16MP,0,16.71,Qualcomm Snapdragon 680,16999
MOTOROLA Edge 30,Aurora Green,128,8,4020,50MP,32MP,0,16.64,Qualcomm Snapdragon 778G Plus,24999
MOTOROLA g72,Polar Blue,128,6,5000,108MP,16MP,0,16.64,Mediatek Helio G99,16999
MOTOROLA g52,Charcoal Grey,64,4,5000,50MP,16MP,0,16.76,Qualcomm Snapdragon 680,11249
MOTOROLA Edge 30 Fusion,Cosmic grey,128,8,4400,50MP,32MP,0,16.64,Qualcomm Snapdragon 888 +,34999
REDMI K50i 5G,Quick Silver,128,6,5080,64MP,16MP,0,16.76,Dimensity 8100,21174
Infinix Note 12,Force Black,64,4,5000,50MP,16MP,1,17.02,MediaTek Helio G88,10999
Google Pixel 7a,Sea,128,8,4300,64MP,13MP,0,15.49,Tensor G2,43999
Google Pixel 7a,Charcoal,128,8,4300,64MP,13MP,0,15.49,Tensor G2,43999
Tecno Spark 9,Infinity Black,64,4,5000,13MP,8MP,0,16.76,MediaTek Helio G37,7993
Tecno Spark 9,Sky Mirror,64,4,5000,13MP,8MP,0,16.76,MediaTek Helio G37,8069
MOTOROLA Edge 30,Meteor Grey,128,8,4020,50MP,32MP,0,16.64,Qualcomm Snapdragon 778G Plus,24999
OPPO Reno8T 5G,Sunrise Gold,128,8,4800,108MP,32MP,0,17.02,Qualcomm Snapdragon 695,29999
SAMSUNG Galaxy A14 5G,Dark Red,64,4,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),16499
MOTOROLA g13,Matte Charcoal,64,4,5000,50MP,8MP,0,16.51,Helio G85,9499
REDMI Note 12 Pro 5G,Glacier Blue,128,8,5000,50MP,16MP,0,16.94,Mediatek Dimensity 1080,25999
POCO F5 5G,Electric Blue,256,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),29999
SAMSUNG Galaxy A14 5G,Black,128,6,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),18999
OPPO Reno8T 5G,Midnight Black,128,8,4800,108MP,32MP,0,17.02,Qualcomm Snapdragon 695,29999
SAMSUNG Galaxy A14 5G,Light Green,128,6,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),18999
Infinix Note 12,Force Black,128,6,5000,50MP,16MP,1,17.02,MediaTek Helio G88,12999
SAMSUNG Galaxy F23 5G,Aqua Blue,128,4,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 750G,15999
POCO C31,Shadow Gray,64,4,5000,13MP,5MP,0,16.59,MediaTek Helio G35,8999
REDMI 10,Pacific Blue,64,4,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,9499
POCO X2,Atlantis Blue,64,6,4500,64MP,20MP,0,16.94,Qualcomm Snapdragon 730G,17999
POCO F5 5G,Snowstorm White,256,6,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),32999
Google Pixel 7a,Snow,128,8,4300,64MP,13MP,0,15.49,Tensor G2,43999
nothing phone 1,White,128,8,4500,50MP,16MP,0,16.64,Qualcomm Snapdragon 778G+,30499
Google Pixel 6a,chalk,128,8,4500,50MP,16MP,0,16.64,Qualcomm Snapdragon 778G+,30999
I Kall Z19Pro Flash blue,Flash Blue,64,4,5000,13MP,8MP,0,16.51,Octa Core,7999
MOTOROLA G32,Satin Silver,64,4,5000,50MP,16MP,0,16.64,Qualcomm Snapdragon 680,10999
Tecno Spark 9T,Turquoise Cyan,64,4,5000,50MP,8MP,0,16.76,MediaTek Helio G35,9290
POCO M4 Pro 5G,Yellow,64,4,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,14999
Tecno Spark 9T,Iris Purple,64,4,5000,50MP,8MP,0,16.76,MediaTek Helio G35,8449
Infinix Zero 5G 2023 TURBO,Pearly White,256,8,5000,50MP,16MP,0,17.22,Mediatek Dimensity 1080,17999
Tecno Spark 9T,Tahiti Gold,64,4,5000,50MP,8MP,0,16.76,MediaTek Helio G35,8495
Infinix Zero 5G 2023 TURBO,Submariner Black,256,8,5000,50MP,16MP,0,17.22,Mediatek Dimensity 1080,17999
I Kall Z19Pro,Blue,64,4,5000,13MP,8MP,0,16.51,Octa Core,7999
vivo Y16,Steller Black,64,4,5000,13MP,5MP,0,16.54,Mediatek Helio P35,11999
vivo Y16,Drizzling Gold,64,3,5000,13MP,5MP,0,16.54,Mediatek Helio P35,10499
vivo Y16,Steller Black,128,4,5000,13MP,5MP,0,16.54,Mediatek Helio P35,12999
nothing phone 1,Black,128,8,4500,50MP,16MP,0,16.64,Qualcomm Snapdragon 778G+,29499
REDMI K50i 5G,Stealth Black,128,6,5080,64MP,16MP,0,16.76,Dimensity 8100,20998
Tecno Spark 9T,Turquoise Cyan,64,4,5000,50MP,8MP,0,16.76,MediaTek Helio G35,9290
REDMI K50i 5G,Quick Silver,256,8,5080,64MP,16MP,0,16.76,Dimensity 8100,23999
OPPO A78 5G,Glowing Black,128,8,5000,13MP,5MP,0,16.66,Android,19280
Tecno Spark 9T,Atlantic Blue,64,4,5000,50MP,8MP,0,16.76,MediaTek Helio G35,8649
Infinix Zero 5G 2023 TURBO,Coral Orange,256,8,5000,50MP,16MP,0,17.22,Mediatek Dimensity 1080,17999
vivo Y16,Steller Black,64,3,5000,13MP,5MP,0,16.54,Mediatek Helio P35,10999
POCO X4 Pro 5G,Laser Black,128,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 695 5G,19499
realme Narzo 50i,Carbon Black,64,4,5000,8MP,5MP,0,16.51,SC9863A,9349
POCO X4 Pro 5G,Laser Black,128,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 695 5G,19499
Tecno Spark Go 2023,Endless Black,64,4,5000,13MP,5MP,0,16.66,"2GHz, Quad Core ",8288
REDMI 10 Prime 2022,Astral White,64,4,6000,50MP,13MP,0,16.51,Helio G88,12272
Tecno Spark Go 2023,Endless Black,32,3,5000,13MP,5MP,0,16.66,"2GHz, Quad Core ",6794
SAMSUNG Galaxy A23 5G,Light Blue,128,6,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 695 (SM6375),21999
SAMSUNG Galaxy A14 5G,Dark Red,128,6,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),18999
REDMI Note 12 Pro+ 5G,Obsidian Black,256,4,4980,200MP,16MP,0,16.94,Mediatek Dimensity 1080,32999
realme C35,Glowing Black,64,4,5000,50MP,8MP,0,16.76,Unisoc Tiger T616,9699
realme C35,Glowing Black,128,4,5000,50MP,8MP,0,16.76,Unisoc Tiger T616,10699
MOTOROLA g22,Cosmic Black,64,4,5000,50MP,16MP,0,16.51,Mediatek Helio G37,10999
itel A60,VertMenthe,32,2,5000,8MP,5MP,0,16.76,Unisoc,5999
vivo Y16,Drizzling Gold,64,4,5000,13MP,5MP,0,16.54,Mediatek Helio P35,11999
vivo V23 5G,Stardust Black,256,4,4200,64MP,50MP,0,16.36,Mediatek Dimensity 920,27540
OnePlus Nord 2T 5G,Gray Shadow,128,8,4500,50MP,32MP,0,17.02,Oxygen OS,27877
SAMSUNG Galaxy A23 5G,Orange,128,6,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 695 (SM6375),21999
itel A60,SapphireBlack,32,2,5000,8MP,5MP,0,16.76,Unisoc,5990
itel A60,DawnBlue,32,2,5000,8MP,5MP,0,16.76,Unisoc,5999
REDMI K50i 5G,Phantom Blue,128,6,5080,64MP,16MP,0,16.76,Dimensity 8100,21499
POCO M4 Pro 5G,Cool Blue,128,8,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,15999
MOTOROLA G42,Metallic Rose,64,4,5000,50MP,16MP,0,16.43,Qualcomm Snapdragon 680,11980
Infinix Smart 6,Starry Purple,64,2,5000,8MP,5MP,0,16.76,Mediatek Helio A22,6999
Infinix Smart 6,Heart Of Ocean,64,2,5000,8MP,5MP,0,16.76,Mediatek Helio A22,6999
Infinix Smart 6,Light Sea Green,64,2,5000,8MP,5MP,0,16.76,Mediatek Helio A22,6999
Infinix Smart 6,Polar Black,64,2,5000,8MP,5MP,0,16.76,Mediatek Helio A22,6999
realme 10 Pro+ 5G,Nebula Blue,128,8,5000,108MP,16MP,0,17.02,Mediatek Dimensity 1080 5G,23999
realme 9i,Prism Blue,64,4,5000,50MP,16MP,0,16.76,Qualcomm Snapdragon 680 (SM6225),11999
realme 9i,Prism Black,128,4,5000,50MP,16MP,0,16.76,Qualcomm Snapdragon 680 (SM6225),13499
SAMSUNG Galaxy A14 5G,Light Green,64,4,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),16499
SAMSUNG Galaxy A34 5G,Awesome Graphite,256,8,5000,48MP,13MP,0,16.76,"Dimensity 1080, Octa Core ",32999
realme Narzo N55,Prime Blue,64,4,5000,64MP,8MP,0,17.07,Mediatek Helio G88,11349
SAMSUNG Galaxy A34 5G,Awesome Silver,128,8,5000,48MP,13MP,0,16.76,"Dimensity 1080, Octa Core ",30999
OPPO A17k,Navy Blue,64,3,5000,8MP,5MP,0,16.66,Mediatek Helio P35,9499
OPPO A17K,Navy Blue,64,3,5000,8MP,5MP,0,16.66,Mediatek Helio G35,9790
OPPO A17k,Gold,64,3,5000,8MP,5MP,0,16.66,Mediatek Helio P35,9499
OnePlus Nord 2T 5G,Jade Fog,128,8,4500,50MP,32MP,0,17.02,Oxygen OS,28298
realme 10 Pro+ 5G,Dark Matter,128,8,5000,108MP,16MP,0,17.02,Mediatek Dimensity 1080 5G,23999
realme 10 Pro+ 5G,Hyperspace,128,8,5000,108MP,16MP,0,17.02,Mediatek Dimensity 1080 5G,23999
realme 10 Pro+ 5G,Nebula Blue,128,6,5000,108MP,16MP,0,17.02,Mediatek Dimensity 1080 5G,22999
realme 10 Pro+ 5G,Hyperspace,128,6,5000,108MP,16MP,0,17.02,Mediatek Dimensity 1080 5G,22999
realme 10 Pro+ 5G,Dark Matter,128,6,5000,108MP,16MP,0,17.02,Mediatek Dimensity 1080 5G,22999
POCO M4 Pro,Power Black,128,8,5000,64MP,16MP,0,16.33,Mediatek Helio G96,13999
Tecno Pop 5 Pro,Ice Blue,32,3,6000,8MP,5MP,0,16.56,Helio A22,7049
Tecno Pop 5 Pro,Deepsea Luster,32,3,6000,8MP,5MP,0,16.56,Helio A22,6960
SAMSUNG Galaxy M04,Dark Blue,128,4,5000,13MP,5MP,0,16.51,MediaTek Helio P35,9104
vivo V27 5G,Magic Blue,256,4,4600,50MP,50MP,0,17.22,Mediatek Dimensity 7200 5G,36999
REDMI 9 Activ,Carbon Black,128,6,5000,13MP,5MP,0,16.59,Mediatek Helio G35,9499
OPPO A77s,Sunset Orange,128,8,5000,50MP,8MP,0,16.66,Qualcomm Snapdragon 680,16499
realme C30s,Stripe Blue,32,2,5000,8MP,5MP,0,16.51,Unisoc SC9863A/ Unisoc SC9863A1,6999
MOTOROLA Edge 30 Ultra,Interstellar Black,256,4,4610,200MP,60MP,0,16.94,Qualcomm Snapdragon 8+ Gen 1,49999
SAMSUNG Galaxy A23 5G,Silver,128,6,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 695 (SM6375),21999
SAMSUNG Galaxy A14 5G,Dark Red,128,8,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),20999
SAMSUNG Galaxy A34 5G,Awesome Graphite,128,8,5000,48MP,13MP,0,16.76,"Dimensity 1080, Octa Core ",30999
IQOO Neo 7 5G,Frost Blue,128,8,5000,64MP,16MP,0,17.22,Snapdragon 8 Gen 1,30385
vivo Y56 5G,Black Engine,128,8,5000,50MP,16MP,0,16.71,Mediatek Dimensity 700,19999
Infinix Note 12 5G,Snowfall,64,6,5000,50MP,16MP,1,17.02,Mediatek Dimensity 810 5G,14999
Infinix HOT 12 Play,Racing Black,64,4,6000,13MP,8MP,0,17.32,Unisoc T610,8999
POCO F5 5G,Electric Blue,256,4,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),32999
vivo Y75,Dancing waves,128,8,4050,50MP,44MP,0,16.36,Mediatek G96,19990
realme C30s,Stripe Black,32,2,5000,8MP,5MP,0,16.51,Unisoc SC9863A/ Unisoc SC9863A1,6999
POCO X4 Pro 5G,Laser Blue,128,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 695 5G,19499
realme Narzo 50A Prime,Flash Blue,128,4,5000,50MP,8MP,0,16.76,Unisoc T612,12900
SAMSUNG Galaxy A14 5G,Black,64,4,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),16499
Tecno Spark 9,Sky Mirror,64,3,5000,13MP,8MP,0,16.76,MediaTek Helio G37,8990
realme NARZO 50A PRIME,FLASH BLUE,64,4,5000,50MP,8MP,0,16.76,Unisoc T612,10943
Google Pixel 7,Snow,128,8,4270,50MP,8MP,0,16,Google Tensor G2,55999
Google Pixel 7,Obsidian,128,8,4270,50MP,8MP,0,16,Google Tensor G2,55999
POCO F1,Steel Blue,64,6,4000,12MP,20MP,0,15.7,Qualcomm Snapdragon 845,13489
MOTOROLA Edge 30 Fusion,Solar Gold,128,8,4400,50MP,32MP,0,16.64,Qualcomm Snapdragon 888 +,34999
POCO F5 5G,Carbon Black,256,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),32999
vivo Y12G,Phantom Black,64,3,5000,13MP,8MP,0,16.54,Qualcomm Snapdragon 439,11209
REDMI Note 12 Pro 5G,Onyx Black,256,8,5000,50MP,16MP,0,16.94,Mediatek Dimensity 1080,26999
realme C30s,Stripe Black,64,4,5000,8MP,5MP,0,16.51,Unisoc SC9863A/ Unisoc SC9863A1,8499
realme C30s,Stripe Black,64,4,5000,8MP,5MP,0,16.51,Unisoc SC9863A/ Unisoc SC9863A1,8499
SAMSUNG Galaxy A14 5G,Black,128,8,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),20999
Google Pixel 7,Lemongrass,128,8,4270,50MP,8MP,0,16,Google Tensor G2,55999
SAMSUNG Galaxy A23,Black,128,6,5000,50MP,8MP,0,16.76,Octa-core(EXYNOS),17499
vivo Y56 5G,Orange Shimmer,128,8,5000,50MP,16MP,0,16.71,Mediatek Dimensity 700,19999
vivo Y56 5G,Black Engine,128,4,5000,50MP,16MP,0,16.71,Mediatek Dimensity 700,17999
realme Narzo 50A,Oxygen Blue,64,4,6000,50MP,8MP,0,16.51,MediaTek Helio G85,11499
vivo Y75,Moonlight Shadow,128,8,4050,50MP,44MP,0,16.36,Mediatek G96,16988
vivo Y16,Stellar Black,128,4,5000,13MP,5MP,0,16.54,Mediatek Helio P35,12989
MOTOROLA g52,Metallic White,128,6,5000,50MP,16MP,0,16.76,Qualcomm Snapdragon 680,13999
vivo Y100 5G,Pacific Blue,128,8,4500,64MP,16MP,0,16.21,Mediatek Dimensity 900,23999
Redmi 9A Sport,Coral Green,32,2,5000,13MP,5MP,0,16.59,Helio G25,7190
Redmi 9A Sport,Coral Green,32,3,5000,13MP,5MP,0,16.59,Helio G25,7990
vivo Y100 5G,Pacific Blue,128,8,4500,64MP,16MP,0,16.21,Mediatek Dimensity 900,23999
SAMSUNG Galaxy A14 5G,Light Green,128,8,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),20999
REDMI Note 11,Horizon Blue,64,4,5000,50MP,13MP,0,16.33,Snapdragon 680,12990
vivo V25 5G,Elegant Black,128,8,4500,64MP,50MP,0,16.36,Mediatek Dimensity 900,27999
SAMSUNG Galaxy A34 5G,Awesome Violet,256,8,5000,48MP,13MP,0,16.76,"Dimensity 1080, Octa Core ",32999
Infinix Note 12 5G,Force Black,64,6,5000,50MP,16MP,1,17.02,Mediatek Dimensity 810 5G,14999
MOTOROLA g42,Metallic Rose,64,4,5000,50MP,16MP,0,16.43,Qualcomm Snapdragon 680,13999
SAMSUNG Galaxy A34 5G,Awesome Violet,128,8,5000,48MP,13MP,0,16.76,"Dimensity 1080, Octa Core ",30999
SAMSUNG Galaxy S21 FE 5G,Olive Green,128,8,4500,12MP,32MP,0,16.26,snapdragon 888,32999
REDMI Note 11T 5G,Stardust White,128,8,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,19397
vivo V25 5G,Surfing Blue,128,8,4500,64MP,50MP,0,16.36,Mediatek Dimensity 900,27999
vivo Y16,Steller Black,32,3,5000,13MP,5MP,0,16.54,Mediatek Helio P35,10989
vivo Y16,Drizzling Gold,32,3,5000,13MP,5MP,0,16.54,Mediatek Helio P35,10989
realme X3 SuperZoom,Glacier Blue,256,3,4200,64MP,16MP,0,16.69,Qualcomm Snapdragon 855,17999
OPPO F21 Pro,Sunset Orange,128,8,4500,64MP,32MP,0,16.33,Qualcomm Snapdragon 680,20999
REDMI Note 11S,Space Black,128,6,5000,108MP,16MP,0,16.33,Mediatek Dimensity 810,16990
Infinix HOT 12 Play,Horizon Blue,64,4,6000,13MP,8MP,0,17.32,Unisoc T610,8999
vivo V23 5G,Stardust Black,128,8,4200,64MP,16MP,0,16.36,Mediatek Dimensity 920,29990
OnePlus 8,Interstellar Glow,256,8,4300,48MP,32MP,0,16.64,Qualcomm Snapdragon 865,38920
vivo Y1s,Aurora Blue,32,3,4030,13MP,5MP,0,15.8,MediaTek Helio P35,9387
OnePlus 8,Glacial Green,128,6,4300,48MP,16MP,0,16.64,Qualcomm Snapdragon 865,29790
OnePlus Nord,Blue Marble,128,8,4115,48MP,13MP,0,16.36,QualcommÂ® Snapdragonâ_x0084_¢ 765G,24999
OPPO A77s,Starry Black,128,8,5000,50MP,8MP,0,16.66,Qualcomm Snapdragon 680,16499
Nokia C01 Plus,Grey,16,2,3000,5MP,2MP,0,13.84,Unisoc SC9863A,5799
POCO M4 Pro,Power Black,128,6,5000,64MP,16MP,0,16.33,Mediatek Helio G96,16499
REDMI 10A SPORT,SLATE GREY,128,6,5000,13MP,5MP,0,16.59,Helio G25,10890
REDMI 10A SPORT,CHARCOAL BLACK,128,6,5000,13MP,5MP,0,16.59,Helio G25,10548
realme GT 2,Steel Black,256,2,5000,50MP,16MP,0,16.81,Qualcomm Snapdragon 888,32299
SAMSUNG Galaxy A54 5G,Awesome Graphite,256,8,5000,50MP,32MP,0,16.26,"Exynos 1380, Octa Core ",40999
Nokia C01 Plus,Blue,32,2,3000,5MP,2MP,0,13.84,Unisoc SC9863A,6299
vivo Y33s,Mirror Black,128,8,5000,50MP,16MP,0,16.71,MediaTek Helio G80,16990
vivo Y56 5G,Orange Shimmer,128,4,5000,50MP,16MP,0,16.71,Mediatek Dimensity 700,17999
realme Narzo N55,Prime Black,64,4,5000,64MP,8MP,0,17.07,MediaTek Helio G88,11490
realme Narzo 50A Prime,Flash Black,128,4,5000,50MP,8MP,0,16.76,MediaTek Helio G88,12599
REDMI Note 10S,Frost White,128,6,5000,64MP,13MP,0,16.33,Mediatek Helio G95,16499
realme X3 SuperZoom,Arctic White,256,6,4200,64MP,32MP,0,16.69,Qualcomm Snapdragon 855+,17999
vivo V23 5G,Sunshine Gold,128,8,4200,64MP,16MP,0,16.36,Mediatek Dimensity 920,31989
APPLE iPhone 11,Black,64,8,3110,12MP,12MP,0,15.49,ios,41199
vivo T1 Pro 5G,Turbo Black,128,8,4700,64MP,16MP,0,16.36,Qualcomm Snapdragon 778G 5G Mobile Platform,24999
vivo T1 Pro 5G,Turbo Cyan,128,6,4700,64MP,16MP,0,16.36,Qualcomm Snapdragon 778G 5G Mobile Platform,23999
Infinix Smart 5A,Midnight Black,32,2,5000,8MP,8MP,0,16.56,MediaTek Helio A20,7199
SAMSUNG Galaxy F23 5G,Copper Blush,128,4,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 750G,15999
POCO C31,Royal Blue,64,4,5000,13MP,5MP,0,16.59,MediaTek G35,8999
POCO C31,Royal Blue,64,4,5000,13MP,5MP,0,16.59,MediaTek G35,8999
MOTOROLA e22s,Eco Black,64,4,5000,16MP,8MP,0,16.51,Mediatek Helio G37,8940
vivo T1 Pro 5G,Turbo Cyan,128,8,4700,64MP,16MP,0,16.36,Qualcomm Snapdragon 778G,24999
Tecno Spark Go 2023,Uyuni Blue,64,4,5000,13MP,5MP,0,16.66,MediaTek Helio A22,8288
POCO C31,Royal Blue,32,3,5000,13MP,5MP,0,16.59,MediaTek Helio G35,8499
Infinix Hot 12 Pro,Halo White,64,6,5000,50MP,8MP,0,16.76,Unisoc T616,9999
SAMSUNG Galaxy A23,Peach,128,6,5000,50MP,8MP,0,16.76,Octa-core(EXYNOS),17499
REDMI 9i,Midnight Black,64,4,5000,13MP,5MP,0,16.59,MediaTek Helio G25,8999
REDMI Note 9,Scarlet Red,128,6,5020,48MP,13MP,0,16.59,MediaTek Helio G85,14999
MOTOROLA Edge 30 Ultra,Starlight White,256,6,4610,200MP,60MP,0,16.94,Qualcomm Snapdragon 8+ Gen 1,49999
vivo Y565G,Orange Shimmer,128,8,5000,50MP,16MP,0,16.71,MTK Dimensity 700,19979
SAMSUNG M53 5G,Deep Ocean Blue,128,6,5000,108MP,32MP,0,17.02,Mediatek Dimensity 900,23390
REDMI Note 10 Lite,Glacier White,128,6,5020,48MP,16MP,0,16.94,Qualcomm Snapdragon 720G,14385
APPLE iPhone 14 Plus,Midnight,128,6,4323,12MP,12MP,0,17.02,IOS,80999
vivo V25 Pro 5G,Pure Black,256,6,4830,64MP,32MP,0,16.66,Mediatek Dimensity 1300,30874
Infinix Hot 12 Pro,Lightsaber Green,128,8,5000,108MP,8MP,0,16.76,Unisoc T616,12999
vivo V25 Pro 5G,Sailing Blue,128,8,4830,64MP,32MP,0,16.66,Mediatek Dimensity 1300,35999
Infinix Hot 11,Emerald Green,64,4,5200,13MP,8MP,0,16.76,MediaTek Helio G70,9999
Infinix Hot 11,Silver Wave,64,4,5200,13MP,8MP,0,16.76,MediaTek Helio G70,9999
Infinix Note 12 Pro,Tuscany Blue,256,8,5000,108MP,16MP,1,17.02,Mediatek Helio G99,16999
Infinix Note 12 Pro,Volcanic Grey,256,8,5000,108MP,16MP,1,17.02,Mediatek Helio G99,16999
vivo T1 Pro 5G,Turbo Black,128,6,4700,64MP,16MP,0,16.36,Qualcomm Snapdragon 778G 5G Mobile Platform,23999
Tecno Pova 3,Eco Black,128,6,7000,50MP,8MP,0,17.53,MediaTek Helio G88,13999
REDMI 12c,Royal Blue,128,6,5000,50MP,5MP,0,17.04,MediaTek Helio G85,10799
LAVA Z2,Flame Red,32,3,5000,13MP,8MP,0,16.55,MediaTek Helio G35,7999
Infinix Hot 12 Pro,Lightsaber Green,64,6,5000,50MP,8MP,0,16.76,Unisoc T616,9999
Infinix Hot 12 Pro,Racing Black,64,6,5000,50MP,8MP,0,16.76,Unisoc T616,9999
Infinix Hot 12 Pro,Electric Blue,64,6,5000,50MP,8MP,0,16.76,Unisoc T616,9999
realme Narzo 50A,Oxygen Green,128,4,6000,50MP,8MP,0,16.51,MediaTek Helio G85,11762
REDMI Note 11T 5G,Aquamarine Blue,128,6,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,18990
REDMI Note 11T 5G,Matte black,128,8,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,18999
Infinix Note 11s Free Fire Edition,Mithril Grey,128,8,5000,50MP,16MP,0,17.65,MediaTek Helio G96,15999
vivo V25 5G,Elegant Black,256,8,4500,64MP,50MP,0,16.36,Mediatek Dimensity 900,29418
vivo V25 Pro 5G,Sailing Blue,256,8,4830,64MP,32MP,0,16.66,Mediatek Dimensity 1300,33367
MOTOROLA g31,Meteorite Grey,64,4,5000,50MP,13MP,0,16.26,Mediatek Helio G85,11999
